,id,name,regr_mse,regr_dt_mse,regr_boost_mse,regr_rf_mse,rs_m70,rs_m50,rs_m30,rs_m10,rs_p10,rs_p30,rs_p50,rs_p70
0,340,가락시장,0.6942256966429771,0.3227739366449854,0.11157254215346674,0.3182930469992373,0.03489592542437621,0.017398820094143248,0.009407136686652988,0.006457096128688396,0.0050194446234562914,0.0024998825606204747,-0.0006678823813102197,-0.004807592314502419
1,2818,가락시장,0.8601514751601419,0.17087755464179114,0.0919561756751499,0.1664433088992361,0.013786361065077635,0.008548424893058234,0.00466568497826376,0.0021164598749296134,0.00144910176575729,-0.00031363397247574697,-0.002712328412275448,-0.0018948669893715244
2,2748,가산디지털단지,0.8359552670046255,0.06776912064606028,0.06692738106171875,0.06760246936991318,0.017222690460842148,0.012387253848683553,0.005868076343016269,0.0002973613329744725,-0.003836790175300155,-0.00825697156604338,-0.012597129929902579,-0.016801068512776532
3,222,강남,0.8464306215426023,0.21815759646234412,0.09205634347539796,0.2179319859556849,0.00013405759287586928,0.0027478775122175246,0.0015302500353382123,2.7098101252814967e-05,-0.002111960834599412,-0.004927858055820399,-0.007380307024227383,-0.009468724993475964
4,2732,강남구청,0.8110302500051312,0.1007772436596116,0.0685294865754235,0.10054105425909907,0.008848574445802412,0.00827461634087774,0.005439004046028114,0.0032201259732903055,0.0013711539450277808,-0.0015754651639226442,-0.005028180247493399,-0.007571096083868226
5,2549,강동,0.6583671902177262,0.18404733111223742,0.08930162928530061,0.18351478947060257,0.017038466049718932,0.013404024209494459,0.006569574528701487,0.0009271596596339302,-0.0020842256092522167,-0.003686851109011965,-0.004028203327235926,-0.0033448508243192855
6,2813,강동구청,0.7568730142064535,0.243868544442422,0.09328068781632386,0.24353739420251888,0.02681112377241342,0.020869177887147247,0.01193695422472073,0.004378633901802857,0.0002642995889394978,-0.0027192782244176493,-0.004772130984471682,-0.008121499179790041
7,214,강변,0.6028221387974514,0.16607596372380165,0.08566831385399623,0.14979604947339753,-0.010472892190117,-0.010067817651230045,-0.007818683642317355,-0.0038839583122813304,0.001035083472272512,0.005688685862445106,0.0107419882757237,0.015096942889384435
8,2559,개롱,0.6768777055398058,0.2413965690174179,0.1102556438546408,0.2365374857329147,0.030055913257142037,0.019742078910784583,0.013573819054048428,0.012025834689519805,0.012104454404308638,0.01175300120151635,0.010703350516104033,0.009742449310228435
9,2512,개화산,0.7853679341783091,0.20027886180815668,0.0716919229435161,0.17984203430126092,-0.018103410367369503,-0.003304222906044905,0.0019447763556829018,3.414593092052467e-06,-0.007749411057298125,-0.018156549959854818,-0.03043652950067942,-0.04052372991538526
10,2560,거여,0.592456963093514,0.16045954508573973,0.09779793889932772,0.16008265154209872,0.030205436112378428,0.019859706169285455,0.011020425304009878,0.00852986051864599,0.007028477709120915,0.005932952046930364,0.0038519759223294234,0.002905899282770217
11,212,건대입구,0.6184222819357452,0.14920161202676777,0.06636345816875722,0.13018565177324964,0.0053001047246581945,0.006468696932648207,0.004262588143147269,0.0031076636659842236,0.002147006236863593,0.002110852494639217,0.003322926678108606,0.0043393079097703595
12,2729,건대입구,0.863418077280965,0.302265016079775,0.11896874236822191,0.30178122990181194,0.03291631103956096,0.02102454157940359,0.01337533670694658,0.008124072026984168,0.003542884959755896,0.0008629255270402434,0.0006612936590180154,-0.0004954214771255906
13,317,경복궁,0.7496771105844882,0.32876032304850344,0.1049781155167944,0.2599799547965363,-0.02036943501841912,-0.009251562916715382,-0.004830237732467365,-0.0014155342258204404,0.0010117446015336807,0.0030595676219811498,0.003494314638573557,0.004121235386578713
14,341,경찰병원,0.8188628557904747,0.17894163946327243,0.09612243428880078,0.16923835855065394,0.02120812008619915,0.015901216717608708,0.01024567621287448,0.007449029700058893,0.0056558513588220675,0.0029991878574783465,0.0008384456153286527,-0.0019290796978539816
15,2553,고덕,0.7080063329889615,0.42458522500681106,0.14712127021797342,0.3275825893760165,0.03207945230755111,0.018910591179122947,0.006484388748007464,-0.001240822809708495,-0.005951320557500744,-0.008468587164623193,-0.011275493735782165,-0.013712567795667267
16,2641,고려대,0.7626474754728397,0.29190126505956787,0.19056470738811884,0.29131898246883275,0.028879335868726076,0.028917408710760817,0.025271322049701284,0.018236660134504593,0.011603014342172263,0.0035523192485538667,-0.0053875338781543,-0.014740602643328637
17,329,고속터미널,0.7107861933406421,0.16891707849191046,0.07797280478242848,0.16168046541411177,-0.014770011223814461,-0.009329776726096242,-0.005122321571734603,-0.0011955538695426534,0.002300911048432694,0.006329367344022989,0.010277538745433286,0.012972624656143303
18,2736,고속터미널,0.7331286949311001,0.21324272924022455,0.0930285049804419,0.195019430624029,0.0011151662464263976,0.0043836091598343585,0.002869374227152887,0.00014366060996687678,-0.0024844568660467975,-0.004576659749323566,-0.007932328862881663,-0.01271806178694434
19,2530,공덕,0.8538195544779553,0.07802852554838732,0.07426720919139032,0.07873375616933792,0.021317347196206836,0.017375088377458763,0.00670084172399895,-0.001701097623467371,-0.008623063799535034,-0.015706445296087772,-0.02254621442073037,-0.027638736118042594
20,2627,공덕,0.8544389507330329,0.10702291534973178,0.06709389905733232,0.10428129549647958,0.013880516776362008,0.016533655879617578,0.008166794015663843,0.0005861393392422879,-0.005476990073276297,-0.01110710823394965,-0.016223558480905998,-0.019278219887633653
21,2718,공릉,0.6612074097649178,0.2707955934593922,0.10224532218750025,0.24186878122399266,0.03394126247316478,0.020933485095252852,0.0104448558565845,0.00459768775871397,0.001536908829031135,-0.0020869273173897826,-0.005531953203424262,-0.009326594431384358
