동호대교,C-14,동호대교,C-14,총신대입구,FALSE
성수대교,C-15,성수대교,C-15,증산로,FALSE
영동대교,C-16,영동대교,C-16,화곡터널,FALSE
청담대교,C-17,청담대교,C-17,가양대교,FALSE
잠실대교,C-18,잠실대교,C-18,안국역,FALSE
올림픽대교,C-19,올림픽대교,C-19,노원역,FALSE
천호대교,C-20,천호대교,C-20,신내I.C,FALSE
광진교,C-21,광진교,C-21,우면산,FALSE
강동대교,C-22,강동대교,C-22,강일I.C,FALSE
진흥로(구기터널),D-01,진흥로(구기터널),D-01,소월길(힐튼호텔),FALSE
평창문화로(북악터널),D-02,평창문화로(북악터널),D-02,장충단길(신라호텔),FALSE
동호로(금호터널),D-03,동호로(금호터널),D-03,성산대교북단(강변북로),FALSE
서빙고로(한남역),D-04,서빙고로(한남역),D-04,신월I.C(경인고속도로),FALSE
천호대로(군자교),D-05,천호대로(군자교),D-05,천왕교차로(지역도로),FALSE
뚝섬로(용비교),D-06,뚝섬로(용비교),D-06,철산대교(디지털로),FALSE
동일로(군자교),D-07,동일로(군자교),D-07,종합운동장(백제고분로),FALSE
화랑로(상월곡역),D-08,화랑로(상월곡역),D-08,연희I.C(연희로),FALSE
동소문로(길음교사거리),D-09,동소문로(길음교사거리),D-09,세곡교차로(밤고개길),FALSE
화랑로(화랑대역),D-10,화랑로(화랑대역),D-10,서울교남단,FALSE
도봉로(쌍문역),D-11,도봉로(쌍문역),D-11,상월파출소,FALSE
동부간선도로(월계1교),D-12,동부간선도로(월계1교),D-12,공수교차로(화곡로),FALSE
동일로(노원역),D-13,동일로(노원역),D-13,,
증산로(디지털미디어시티역),D-14,증산로(디지털미디어시티역),D-14,,
통일로(산골고개정류장),D-15,통일로(산골고개정류장),D-15,,
성산로(연희IC),D-16,성산로(연희IC),D-16,,
연희로(연희IC),D-17,연희로(연희IC),D-17,,
남부순환로(화곡로입구 교차로),D-18,남부순환로(화곡로입구 교차로),D-18,,
남부순환로(신월IC),D-19,남부순환로(신월IC),D-19,,
강서로(화곡터널),D-20,강서로(화곡터널),D-20,,
공항대로(발산역),D-21,공항대로(발산역),D-21,,
경인로(오류IC),D-22,경인로(오류IC),D-22,,
경인로(거리공원입구교차로),D-23,경인로(거리공원입구교차로),D-23,,
시흥대로(시흥IC),D-24,시흥대로(시흥IC),D-24,,
영등포로(오목교),D-25,영등포로(오목교),D-25,,
시흥대로(구로디지털단지역),D-26,시흥대로(구로디지털단지역),D-26,,
제물포길(여의2교),D-27,제물포길(여의2교),D-27,,
경인로(서울교),D-28,경인로(서울교),D-28,,
여의대방로(여의교),D-29,여의대방로(여의교),D-29,,
양녕로(상도터널),D-30,양녕로(상도터널),D-30,,
동작대로(총신대입구역),D-31,동작대로(총신대입구역),D-31,,
문성로(난곡터널),D-32,문성로(난곡터널),D-32,,
남부순환로(낙성대역),D-33,남부순환로(낙성대역),D-33,,
남부순환로(예술의전당),D-34,남부순환로(예술의전당),D-34,,
강남대로(강남역-신분당),D-35,강남대로(강남역-신분당),D-35,,
사평대로(고속터미널역),D-36,사평대로(고속터미널역),D-36,,
반포대로(서초역),D-37,반포대로(서초역),D-37,,
언주로(매봉터널),D-38,언주로(매봉터널),D-38,,
남부순환로(수서IC),D-39,남부순환로(수서IC),D-39,,
헌릉로(세곡동사거리),D-40,헌릉로(세곡동사거리),D-40,,
밤고개길(세곡동사거리),D-41,밤고개길(세곡동사거리),D-41,,
테헤란로(선릉역),D-42,테헤란로(선릉역),D-42,,
강남대로(신사역),D-43,강남대로(신사역),D-43,,
올림픽로(종합운동장),D-44,올림픽로(종합운동장),D-44,,
올림픽로(잠실3사거리~잠실역),D-45,올림픽로(잠실3사거리~잠실역),D-45,,
올림픽로(송파구청~잠실역),D-46,올림픽로(송파구청~잠실역),D-46,,
올림픽로(몽촌토성역~올림픽회관),D-47,올림픽로(몽촌토성역~올림픽회관),D-47,,
백제고분로(종합운동장),D-48,백제고분로(종합운동장),D-48,,
송파대로(석촌호수(롯데월드)~석촌호수),D-50,송파대로(석촌호수(롯데월드)~석촌호수),D-50,,
송파대로(잠실대교남단교차로~잠실역),D-51,송파대로(잠실대교남단교차로~잠실역),D-51,,
잠실로(석촌호수(롯데월드)~KT송파지사),D-52,잠실로(석촌호수(롯데월드)~KT송파지사),D-52,,
석촌호수로(신천역~잠실학원사거리),D-53,석촌호수로(신천역~잠실학원사거리),D-53,,
석촌호수로(방이삼거리->석촌호수),D-54,석촌호수로(방이삼거리->석촌호수),D-54,,
올림픽대로,F-01,올림픽대로,F-01,,
강변북로,F-02,강변북로,F-02,,
내부순환로,F-03,내부순환로,F-03,,
북부간선로,F-04,북부간선로,F-04,,
동부간선도로,F-05,동부간선도로,F-05,,
경부고속도로,F-06,경부고속도로,F-06,,
분당수서로,F-07,분당수서로,F-07,,
노들로,F-08,노들로,F-08,,
서부간선도로,F-09,서부간선도로,F-09,,
신정로(작동터널),B-30,,,,
