id,name,nation,sido,sigungu,sigungu2
410,상계,대한민국,서울특별시,노원구,
2741,상도,대한민국,서울특별시,동작구,
2758,상동,대한민국,경기도,부천시,
2722,상봉,대한민국,서울특별시,중랑구,
2624,상수,대한민국,서울특별시,마포구,
207,상왕십리,대한민국,서울특별시,성동구,
2643,상월곡,대한민국,서울특별시,성북구,
2554,상일동,대한민국,서울특별시,강동구,
2617,새절,대한민국,서울특별시,은평구,
2533,서대문,대한민국,서울특별시,서대문구,
228,서울대입구,대한민국,서울특별시,관악구,
150,서울역,대한민국,서울특별시,용산구,
426,서울역,대한민국,서울특별시,용산구,
224,서초,대한민국,서울특별시,서초구,
2645,석계,대한민국,서울특별시,노원구,
2816,석촌,대한민국,서울특별시,송파구,
220,선릉,대한민국,서울특별시,강남구,
211,성수,대한민국,서울특별시,성동구,
418,성신여대입구,대한민국,서울특별시,성북구,
2514,송정,대한민국,서울특별시,강서구,
2817,송파,대한민국,서울특별시,송파구,
2713,수락산,대한민국,서울특별시,노원구,
339,수서,대한민국,서울특별시,강남구,
414,수유,대한민국,서울특별시,강북구,
2826,수진,대한민국,경기도,성남시,중원구
427,숙대입구,대한민국,서울특별시,용산구,
2740,숭실대입구,대한민국,서울특별시,동작구,
151,시청,대한민국,서울특별시,중구,
201,시청,대한민국,서울특별시,중구,
2539,신금호,대한민국,서울특별시,성동구,
2526,신길,대한민국,서울특별시,영등포구,
245,신답,대한민국,서울특별시,성동구,
206,신당,대한민국,서울특별시,중구,
2636,신당,대한민국,서울특별시,중구,
231,신대방,대한민국,서울특별시,동작구,
2743,신대방삼거리,대한민국,서울특별시,동작구,
234,신도림,대한민국,서울특별시,구로구,
230,신림,대한민국,서울특별시,관악구,
327,신사,대한민국,서울특별시,강남구,
156,신설동,대한민국,서울특별시,동대문구,
246,신설동,대한민국,서울특별시,동대문구,
429,신용산,대한민국,서울특별시,용산구,
2520,신정,대한민국,서울특별시,양천구,
249,신정네거리,대한민국,서울특별시,양천구,
2756,신중동,대한민국,경기도,부천시,
217,신천,대한민국,서울특별시,송파구,
240,신촌,대한민국,서울특별시,서대문구,
2745,신풍,대한민국,서울특별시,영등포구,
2825,신흥,대한민국,경기도,성남시,수정구
413,쌍문,대한민국,서울특별시,도봉구,
2546,아차산,대한민국,서울특별시,광진구,
242,아현,대한민국,서울특별시,마포구,
318,안국,대한민국,서울특별시,종로구,
2640,안암,대한민국,서울특별시,성북구,
2811,암사,대한민국,서울특별시,강동구,
326,압구정,대한민국,서울특별시,강남구,
2531,애오개,대한민국,서울특별시,마포구,
323,약수,대한민국,서울특별시,중구,
2634,약수,대한민국,서울특별시,중구,
332,양재,대한민국,서울특별시,서초구,
248,양천구청,대한민국,서울특별시,양천구,
2523,양평,대한민국,서울특별시,영등포구,
2728,어린이대공원,대한민국,서울특별시,광진구,
2528,여의나루,대한민국,서울특별시,영등포구,
2527,여의도,대한민국,서울특별시,영등포구,
221,역삼,대한민국,서울특별시,강남구,
2612,역촌,대한민국,서울특별시,은평구,
311,연신내,대한민국,서울특별시,은평구,
2615,연신내,대한민국,서울특별시,은평구,
236,영등포구청,대한민국,서울특별시,영등포구,
2524,영등포구청,대한민국,서울특별시,영등포구,
2525,영등포시장,대한민국,서울특별시,영등포구,
342,오금,대한민국,서울특별시,송파구,
2558,오금,대한민국,서울특별시,송파구,
2522,오목교,대한민국,서울특별시,양천구,
325,옥수,대한민국,서울특별시,성동구,
2752,온수,대한민국,서울특별시,구로구,
2556,올림픽공원,대한민국,서울특별시,송파구,
208,왕십리,대한민국,서울특별시,성동구,
2541,왕십리,대한민국,서울특별시,성동구,
244,용답,대한민국,서울특별시,성동구,
250,용두,대한민국,서울특별시,동대문구,
2725,용마산,대한민국,서울특별시,중랑구,
2517,우장산,대한민국,서울특별시,강서구,
2642,월곡,대한민국,서울특별시,성북구,
2620,월드컵경기장,대한민국,서울특별시,마포구,
203,을지로3가,대한민국,서울특별시,을지로3가,
320,을지로3가,대한민국,서울특별시,을지로3가,
204,을지로4가,대한민국,서울특별시,중구,
2536,을지로4가,대한민국,서울특별시,중구,
202,을지로입구,대한민국,서울특별시,중구,
2611,응암,대한민국,서울특별시,은평구,
241,이대,대한민국,서울특별시,마포구,
2738,이수,대한민국,서울특별시,동작구,
430,이촌,대한민국,서울특별시,용산구,
2631,이태원,대한민국,서울특별시,용산구,
338,일원,대한민국,서울특별시,강남구,
216,잠실,대한민국,서울특별시,송파구,
2815,잠실,대한민국,서울특별시,송파구,
215,잠실나루,대한민국,서울특별시,송파구,
217,잠실새내,대한민국,서울특별시,송파구,
328,잠원,대한민국,서울특별시,서초구,
2742,장승배기,대한민국,서울특별시,동작구,
2711,장암,대한민국,경기도,의정부시,
2820,장지,대한민국,서울특별시,송파구,
2544,장한평,대한민국,서울특별시,동대문구,
157,제기동,대한민국,서울특별시,동대문구,
152,종각,대한민국,서울특별시,종로구,
153,종로3가,대한민국,서울특별시,종로구,
319,종로3가,대한민국,서울특별시,종로구,
2535,종로3가,대한민국,서울특별시,종로구,
154,종로5가,대한민국,서울특별시,종로구,
218,종합운동장,대한민국,서울특별시,송파구,
2716,중계,대한민국,서울특별시,노원구,
2726,중곡,대한민국,서울특별시,광진구,
2721,중화,대한민국,서울특별시,중랑구,
2618,증산,대한민국,서울특별시,은평구,
309,지축,대한민국,경기도,고양시,덕양구
412,창동,대한민국,서울특별시,도봉구,
2638,창신,대한민국,서울특별시,종로구,
2751,천왕,대한민국,서울특별시,구로구,
2548,천호,대한민국,서울특별시,강동구,
2812,천호,대한민국,서울특별시,강동구,
2749,철산,대한민국,경기도,광명시,
2538,청구,대한민국,서울특별시,중구,
2635,청구,대한민국,서울특별시,중구,
2731,청담,대한민국,서울특별시,강남구,
158,청량리,대한민국,서울특별시,동대문구,
432,총신대입구,대한민국,서울특별시,동작구,
2755,춘의,대한민국,경기도,부천시,
423,충무로,대한민국,서울특별시,중구,
243,충정로,대한민국,서울특별시,서대문구,
2532,충정로,대한민국,서울특별시,서대문구,
2646,태릉입구,대한민국,서울특별시,노원구,
2719,태릉입구,대한민국,서울특별시,노원구,
2717,하계,대한민국,서울특별시,노원구,
2733,학동,대한민국,서울특별시,강남구,
336,학여울,대한민국,서울특별시,강남구,
2632,한강진,대한민국,서울특별시,용산구,
419,한성대입구,대한민국,서울특별시,성북구,
209,한양대,대한민국,서울특별시,성동구,
238,합정,대한민국,서울특별시,마포구,
2623,합정,대한민국,서울특별시,마포구,
2540,행당,대한민국,서울특별시,성동구,
420,혜화,대한민국,서울특별시,종로구,
239,홍대입구,대한민국,서울특별시,마포구,
314,홍제,대한민국,서울특별시,서대문구,
2518,화곡,대한민국,서울특별시,강서구,
2647,화랑대,대한민국,서울특별시,노원구,
425,회현,대한민국,서울특별시,중구,
2628,효창공원앞,대한민국,서울특별시,용산구,
