NAME,SIGUNGU
강남구,강남구
강남대로,서초구
강동구,강동구
강변북로,성동구
강북구,강북구
강서구,강서구
공항대로,강서구
관악구,관악구
광진구,광진구
구로구,구로구
금천구,금천구
노원구,노원구
도봉구,도봉구
도산대로,강남구
동대문구,동대문구
동작구,동작구
동작대로 중앙차로,동작구
마포구,마포구
서대문구,서대문구
서초구,서초구
성동구,성동구
성북구,성북구
송파구,송파구
신촌로,마포구
양천구,양천구
영등포구,영등포구
영등포로,영등포구
용산구,용산구
은평구,은평구
정릉로,성북구
종로,종로구
종로구,종로구
중구,중구
중랑구,중랑구
천호대로,강동구
청계천로,중구
한강대로,용산구
홍릉로,동대문구
화랑로,노원구
청계천,중구
동대문,중구
청량리,동대문구
궁동(폐쇄),구로구
잠실동(폐쇄),송파구
길동,강동구
내부순환로,성북구
