name,국가,시도,시군구
안암,대한민국,서울특별시,성북구
고려대,대한민국,서울특별시,성북구
월곡,대한민국,서울특별시,성북구
상월곡,대한민국,서울특별시,성북구
돌곶이,대한민국,서울특별시,성북구
석계,대한민국,서울특별시,노원구
태릉입구,대한민국,서울특별시,노원구
화랑대,대한민국,서울특별시,노원구
봉화산,대한민국,서울특별시,중랑구
도봉산,대한민국,서울특별시,도봉구
수락산,대한민국,서울특별시,노원구
마들,대한민국,서울특별시,노원구
중계,대한민국,서울특별시,노원구
하계,대한민국,서울특별시,노원구
공릉,대한민국,서울특별시,노원구
먹골,대한민국,서울특별시,중랑구
중화,대한민국,서울특별시,중랑구
상봉,대한민국,서울특별시,중랑구
면목,대한민국,서울특별시,중랑구
사가정,대한민국,서울특별시,중랑구
용마산,대한민국,서울특별시,중랑구
중곡,대한민국,서울특별시,광진구
어린이대공원,대한민국,서울특별시,광진구
뚝섬유원지,대한민국,서울특별시,광진구
청담,대한민국,서울특별시,강남구
강남구청,대한민국,서울특별시,강남구
학동,대한민국,서울특별시,강남구
논현,대한민국,서울특별시,강남구
반포,대한민국,서울특별시,서초구
내방,대한민국,서울특별시,서초구
이수,대한민국,서울특별시,동작구
남성,대한민국,서울특별시,동작구
숭실대입구,대한민국,서울특별시,동작구
상도,대한민국,서울특별시,동작구
장승배기,대한민국,서울특별시,동작구
신대방삼거리,대한민국,서울특별시,동작구
보라매,대한민국,서울특별시,동작구
신풍,대한민국,서울특별시,영등포구
남구로,대한민국,서울특별시,구로구
가산디지털단지,대한민국,서울특별시,금천구
천왕,대한민국,서울특별시,구로구
온수,대한민국,서울특별시,구로구
암사,대한민국,서울특별시,강동구
강동구청,대한민국,서울특별시,강동구
몽촌토성,대한민국,서울특별시,송파구
석촌,대한민국,서울특별시,송파구
송파,대한민국,서울특별시,송파구
문정,대한민국,서울특별시,송파구
장지,대한민국,서울특별시,송파구
복정,대한민국,서울특별시,송파구
잠실새내,대한민국,서울특별시,송파구
